<<<<<<< HEAD
42 42 9
837799 837799 525
14593 3038 276
16050 4573 276
13435 71483 340
9675 2083 262
384 7624 262
3479 26063 282
85182 71427 351
14447 38619 324
426 20927 279
55393 18211 340
7056 44119 324
1520 6339 262
22542 34672 311
5696 60218 340
16362 5165 276
38428 82398 351
1 1 1
2 1 2
1 2 2
47401 25204 324
9117 5418 262
25332 5230 282
30513 6228 308
29715 47820 324
12131 13731 276
34994 89594 351
9359 22432 279
32088 15148 308
17692 73001 340
22434 3666 279
26929 2585 308
17547 3457 276
41246 21478 324
25929 60143 340
8680 8082 234
73580 34439 340
76623 38243 340
23724 4533 282
64687 772 340
14372 5243 276
89193 39087 351
6305 39053 324
34677 753 311
15015 70382 340
34974 84013 351
7311 28493 308
14868 370 276
34523 23417 311
13948 39118 324
83749 26072 351
12253 21175 279
69515 42 340
999177 999214 251
999482 999182 396
999392 999248 396
999230 999236 184
999296 999289 396
999337 999438 277
999601 999306 290
999915 999373 290
999487 999511 259
999550 999432 290
999229 999225 184
999211 999186 251
999403 999393 277
999169 999814 396
999182 999172 184
999204 999411 396
999416 999306 277
999289 999368 396
999581 999265 396
999180 999609 396
999384 999407 277
999223 999837 396
999268 999193 251
999515 999279 396
999217 999305 396
999239 999261 228
999404 999206 396
999581 999268 396
999209 999183 251
999198 999272 339
999414 999270 396
999178 999169 184
999303 999633 290
999384 999737 290
999666 999216 396
999279 999205 339
999723 999215 396
999197 999205 251
999425 999329 277
999200 999191 251
999176 999408 396
999229 999420 396
999208 999251 184
999504 999746 290
999491 999272 396
999489 999235 396
999235 999828 396
999402 999205 396
999175 999744 396
=======
999999 999999 259
42 42 9
7 6 17
1 837799 525
1 837798 509
116740 24300 354
128394 36580 354
107474 571859 470
77398 16664 351
3071 60991 340
27825 208497 383
681454 571413 509
115575 308945 443
3408 167415 383
443144 145685 449
56444 352945 443
12157 50708 324
180332 277371 443
45562 481742 449
130890 396923 443
72358 189601 383
201630 72934 383
43337 202656 383
41834 244099 443
105908 145739 375
333282 382555 441
97041 109843 354
279947 716752 509
74871 179452 383
256703 121179 443
141531 671089 509
584005 179468 470
29328 215431 383
20674 140374 354
27654 594732 470
752788 111478 509
523482 337040 470
74906 73207 325
195295 565159 470
224623 611879 470
189791 36263 383
517489 6176 470
114976 41939 354
713537 312691 509
50433 312418 443
277409 6020 443
120117 563055 470
279787 672098 509
58486 227943 386
118941 2958 354
754640 262452 509
187331 111580 383
655675 266162 509
208574 98020 383
169397 556117 470
600 339903 443
10212 47577 324
872065 322452 525
15185 230165 386
82583 63700 351
72575 558583 470
131870 124593 344
576511 69484 470
443693 141374 449
765389 210923 509
326859 352158 441
391560 271359 441
63442 58904 335
44314 19278 324
241293 230915 381
582 661760 509
15004 4118 276
346480 67392 443
73002 508994 449
141357 123908 344
205684 423361 449
99830 12705 351
451990 222078 449
244856 764492 509
44130 677569 509
7945 381794 443
57289 50225 340
140585 73496 354
96201 242551 443
229242 79047 386
423637 897547 525
102665 42739 351
15475 30983 308
106540 252371 443
105131 61484 351
99346 1600 351
238556 221778 443
582766 510312 470
49781 114138 354
37958 568533 470
49020 29972 324
38285 263639 443
894142 165081 525
33282 24357 308
8908 246630 443
62856 933534 525
258176 41673 443
85966 344653 443
592684 331738 470
273433 175565 443
329446 69630 443
68618 676857 509
239718 38034 443
7509 590342 470
9603 223509 386
278083 91491 443
72133 256151 443
149416 114868 375
569606 317213 470
554635 4906 470
695614 17602 509
60518 112236 354
580098 71395 470
110431 359537 443
180224 276808 443
512263 26634 470
83137 434818 449
23115 1367 279
137175 274681 443
115825 448463 449
10140 9863 242
926005 156295 525
37779 387152 443
579365 112667 470
10966 191183 383
834795 41833 509
375191 178800 443
174833 46358 383
587081 917203 525
325406 162061 443
248238 170396 443
185653 432323 449
5878 348322 443
431713 702449 509
770764 260223 509
83466 735344 509
50141 40606 314
493555 52317 449
482663 160008 449
833981 238652 509
6204 202512 383
172104 36397 383
292684 336322 384
419094 562263 470
14471 114956 354
93621 278362 443
7105 455674 449
164458 317829 443
121264 302299 443
66774 46451 340
887 206607 383
226125 43280 386
329165 130680 443
314911 324309 371
428232 210974 449
310017 133471 443
110218 397563 443
182481 596751 470
212901 426 383
150426 112693 375
608159 337903 470
231624 354224 441
134002 416146 449
834693 177935 509
88915 270246 443
663687 351471 509
30785 325499 443
211436 38628 383
1515 124555 354
76366 217287 386
660357 203881 509
730181 259197 509
167620 566391 470
18137 60624 340
363830 56087 443
54378 173478 383
488558 32646 449
110139 403595 443
20481 802785 509
398859 3092 443
368846 204466 443
876326 282183 525
770320 231252 509
>>>>>>> ca789ea0bd5d3268949f434dad6cc1eca07536c6
